id,title,search_all,grouping,activity_type_id,description,session_type,grouping_id,activity_type,start_date
2389,Wjat Mpm-HIV Doctors Need to Know about HIV:  Diagnosis and Prevention of HIV,"Wjat Mpm-HIV Doctors Need to Know about HIV:  Diagnosis and Prevention of HIV Regularly Scheduled Series RSS Live   08/27/2003  2003  08  ",Regularly Scheduled Series,1,,M,2,Live,2003-08-27T04:00:00Z
2390,What Non-HIV Docs Need to Know About HIV:  Diagnosis and Prevention of HIV,"What Non-HIV Docs Need to Know About HIV:  Diagnosis and Prevention of HIV Regularly Scheduled Series RSS Live   08/27/2003  2003  08  ",Regularly Scheduled Series,1,,M,2,Live,2003-08-27T04:00:00Z
2391,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   08/27/2003  2003  08  ",Regularly Scheduled Series,1,,M,2,Live,2003-08-27T04:00:00Z
2392,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   08/27/2003  2003  08  ",Regularly Scheduled Series,1,,M,2,Live,2003-08-27T04:00:00Z
2393,Lobar ICH:  Diagnosis and Management of Cerebral Amyloid Angiopathy,"Lobar ICH:  Diagnosis and Management of Cerebral Amyloid Angiopathy Regularly Scheduled Series RSS Live   08/27/2003  2003  08  ",Regularly Scheduled Series,1,,M,2,Live,2003-08-27T04:00:00Z
2394,mortality & Morbidity,"mortality & Morbidity Regularly Scheduled Series RSS Live   08/27/2003  2003  08  ",Regularly Scheduled Series,1,,M,2,Live,2003-08-27T04:00:00Z
2395,Disease States of Shoulder Trauma,"Disease States of Shoulder Trauma Regularly Scheduled Series RSS Live   08/28/2003  2003  08  ",Regularly Scheduled Series,1,,M,2,Live,2003-08-28T04:00:00Z
2396,Multiple Sclerosis,"Multiple Sclerosis Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2397,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2398,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2399,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2400,MS Update,"MS Update Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2401,Orbital Disease and Plastic Surgery Case Conference,"Orbital Disease and Plastic Surgery Case Conference Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2402,Orthopaedic Surgery 2003,"Orthopaedic Surgery 2003 Regularly Scheduled Series RSS Live All grand rounds for 2003  09/03/2003  2003  09  ",Regularly Scheduled Series,1,All grand rounds for 2003,M,2,Live,2003-09-03T04:00:00Z
2403,Uncommon Causes of Shoulder Pain in the Athlete,"Uncommon Causes of Shoulder Pain in the Athlete Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2404,Facial Neuroma,"Facial Neuroma Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2405,Utilizing Physician Extenders as Surgical House Staff,"Utilizing Physician Extenders as Surgical House Staff Regularly Scheduled Series RSS Live   09/03/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-03T04:00:00Z
2406,Critical Illness and Neuro Muscular Disease,"Critical Illness and Neuro Muscular Disease Regularly Scheduled Series RSS Live   09/05/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-05T04:00:00Z
2407,Obstetrics and Perinatal Journal Club,"Obstetrics and Perinatal Journal Club Regularly Scheduled Series RSS Live   09/08/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-08T04:00:00Z
2408,Biological Determinants of Glomerular Inflammation,"Biological Determinants of Glomerular Inflammation Regularly Scheduled Series RSS Live   09/08/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-08T04:00:00Z
2409,The New Fluoroquinolones,"The New Fluoroquinolones Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2410,All I Needed to Know About Hyponatremia I Learned in the Renal Ward,"All I Needed to Know About Hyponatremia I Learned in the Renal Ward Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2411,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2412,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2413,Complicated Migraine and Other Periodic Syndromes of Childhood,"Complicated Migraine and Other Periodic Syndromes of Childhood Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2414,Dry Eyes and Restasis,"Dry Eyes and Restasis Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2415,Rotator Cuff Tear Arthropathy,"Rotator Cuff Tear Arthropathy Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2416,Bleeding in Pediatric Otolaryngology,"Bleeding in Pediatric Otolaryngology Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2417,Psychiatric Responses to Catastrophic Diseases,"Psychiatric Responses to Catastrophic Diseases Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2418,New Insights in Pathogenesis of Necrotizing Enterocolitis,"New Insights in Pathogenesis of Necrotizing Enterocolitis Regularly Scheduled Series RSS Live   09/10/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-10T04:00:00Z
2419,Looking on the Bright Side,"Looking on the Bright Side Regularly Scheduled Series RSS Live   09/12/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-12T04:00:00Z
2420,Thalassemia,"Thalassemia Regularly Scheduled Series RSS Live   09/12/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-12T04:00:00Z
2421,Growing Trends in Driver Rehabilitation,"Growing Trends in Driver Rehabilitation Regularly Scheduled Series RSS Live   09/12/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-12T04:00:00Z
2422,Mechanisms of Tubulointerstitial Injury,"Mechanisms of Tubulointerstitial Injury Regularly Scheduled Series RSS Live   09/15/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-15T04:00:00Z
2423,Donation and Transplantation:  A Critical Juncture,"Donation and Transplantation:  A Critical Juncture Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2424,The Use of Algorithms in Psychiatry,"The Use of Algorithms in Psychiatry Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2425,Transplant Options for Patients with Type I Diabetes Mellitus With or Without End Stage Renal Diseas,"Transplant Options for Patients with Type I Diabetes Mellitus With or Without End Stage Renal Diseas Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2426,Residents' Clinical Vignettes,"Residents' Clinical Vignettes Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2427,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2428,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2429,Anticonvulsants of Headache and Pain,"Anticonvulsants of Headache and Pain Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2430,Elevated IOP Plus:  Stereoscopic Viewing and Interpretation,"Elevated IOP Plus:  Stereoscopic Viewing and Interpretation Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2431,Graft Considerations for ACL Reconstruction,"Graft Considerations for ACL Reconstruction Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2432,ISCD Bone Densitometry Course and Certification Exam,"ISCD Bone Densitometry Course and Certification Exam Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2433,ISCD Bone Densitometry Course and Certification Exam,"ISCD Bone Densitometry Course and Certification Exam Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2434,mortality & Morbidity,"mortality & Morbidity Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2435,Understanding and Treating Opioid Dependence,"Understanding and Treating Opioid Dependence Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2436,Clinical Research in Surgery:  How We Know What We Think We Know,"Clinical Research in Surgery:  How We Know What We Think We Know Regularly Scheduled Series RSS Live   09/17/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-17T04:00:00Z
2437,Obstetric Management of the Patient with Spinal Cord Injury,"Obstetric Management of the Patient with Spinal Cord Injury Regularly Scheduled Series RSS Live   09/18/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-18T04:00:00Z
2438,Hebrew Union College-Ethics Center 2003,"Hebrew Union College-Ethics Center 2003 Regularly Scheduled Series RSS Live All grand rounds for 2003  09/19/2003  2003  09  ",Regularly Scheduled Series,1,All grand rounds for 2003,M,2,Live,2003-09-19T04:00:00Z
2439,Ethical Dilemmas That Arise When Offering Emergency Treatment in Time of War,"Ethical Dilemmas That Arise When Offering Emergency Treatment in Time of War Regularly Scheduled Series RSS Live   09/19/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-19T04:00:00Z
2440,Heparin-Induced Thrombocytopenia:  Diagnosis and Management,"Heparin-Induced Thrombocytopenia:  Diagnosis and Management Regularly Scheduled Series RSS Live   09/19/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-19T04:00:00Z
2441,Hand Rehabilitation of the Neurological Patient,"Hand Rehabilitation of the Neurological Patient Regularly Scheduled Series RSS Live   09/19/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-19T04:00:00Z
2442,Open Discussion on Opioid Therapy for Non-Malignant Pain - Common Practices and Performance Issues,"Open Discussion on Opioid Therapy for Non-Malignant Pain - Common Practices and Performance Issues Regularly Scheduled Series RSS Live   09/22/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-22T04:00:00Z
2443,MFM Ultrasound Journal Club,"MFM Ultrasound Journal Club Regularly Scheduled Series RSS Live   09/22/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-22T04:00:00Z
2444,Sodium and Blood Pressure,"Sodium and Blood Pressure Regularly Scheduled Series RSS Live   09/22/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-22T04:00:00Z
2445,Thrombotic Microangiopathies,"Thrombotic Microangiopathies Regularly Scheduled Series RSS Live   09/23/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-23T04:00:00Z
2446,Coft-Effectiveness of Colorectal Cancer Screening:  Use of Discrete Event Simulation Modeling,"Coft-Effectiveness of Colorectal Cancer Screening:  Use of Discrete Event Simulation Modeling Regularly Scheduled Series RSS Live   09/23/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-23T04:00:00Z
2447,Cost-Effectiveness of Colorectal Cancer Screening: Use of Discrete Event Simulation Modeling,"Cost-Effectiveness of Colorectal Cancer Screening: Use of Discrete Event Simulation Modeling Regularly Scheduled Series RSS Live   09/23/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-23T04:00:00Z
2448,HIPAA Overview-Introduction Videotape; Correct Blood Bank Product Storage & Specimen Labeling,"HIPAA Overview-Introduction Videotape; Correct Blood Bank Product Storage & Specimen Labeling Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2449,Emergency Medicine Morbidity and Mortality Conference,"Emergency Medicine Morbidity and Mortality Conference Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2450,Systems Thinking and Practice-Based Improvement,"Systems Thinking and Practice-Based Improvement Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2451,Delirium in Critically Ill Patients:  An Under-Recognized Form of Organ Dysfunction,"Delirium in Critically Ill Patients:  An Under-Recognized Form of Organ Dysfunction Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2452,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2453,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2454,Reflex Epilepsies:  An Unusual Epilepsy Syndrome,"Reflex Epilepsies:  An Unusual Epilepsy Syndrome Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2455,Fluid Management During Hysteroscopy,"Fluid Management During Hysteroscopy Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2456,Ocular Tumor Case Conference,"Ocular Tumor Case Conference Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2457,Operative Management of Pediatric Fractures,"Operative Management of Pediatric Fractures Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2458,Improving Outcomes in Anxiety Disorders,"Improving Outcomes in Anxiety Disorders Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2459,Technology in Surgery,"Technology in Surgery Regularly Scheduled Series RSS Live   09/24/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-24T04:00:00Z
2460,New Methods of Endometrial Ablation,"New Methods of Endometrial Ablation Regularly Scheduled Series RSS Live   09/25/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-25T04:00:00Z
2461,Bleeding/Clotting Disorders and Von Willebrand's Disease,"Bleeding/Clotting Disorders and Von Willebrand's Disease Regularly Scheduled Series RSS Live   09/26/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-26T04:00:00Z
2462,Frog in the Throat,"Frog in the Throat Regularly Scheduled Series RSS Live   09/26/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-26T04:00:00Z
2463,Prosthetic Management of Velopharyngeal Incompetence,"Prosthetic Management of Velopharyngeal Incompetence Regularly Scheduled Series RSS Live   09/26/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-26T04:00:00Z
2464,Fibrillary Glomerulonephritis,"Fibrillary Glomerulonephritis Regularly Scheduled Series RSS Live   09/26/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-26T04:00:00Z
2465,Cardiac C.T.,"Cardiac C.T. Regularly Scheduled Series RSS Live   09/29/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-29T04:00:00Z
2466,Wilms Tumor and Other Pediatric Renal Tumors,"Wilms Tumor and Other Pediatric Renal Tumors Regularly Scheduled Series RSS Live   09/29/2003  2003  09  ",Regularly Scheduled Series,1,,M,2,Live,2003-09-29T04:00:00Z
2467,Acquired Factor VIII Inhibitors,"Acquired Factor VIII Inhibitors Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2468,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2469,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2470,Acute Management of Migraine Headache in Children,"Acute Management of Migraine Headache in Children Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2471,Monitor Change in Glaucoma:  The Effect of a Genetic Variation on the Progression of Glaucoma,"Monitor Change in Glaucoma:  The Effect of a Genetic Variation on the Progression of Glaucoma Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2472,Reflux Laryngitis - Results of RCT,"Reflux Laryngitis - Results of RCT Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2473,Recovery From A First Episode of Psychosis:  What's Possible?,"Recovery From A First Episode of Psychosis:  What's Possible? Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2474,Multimodality Treatment of Malignant Pleural Mesothelioma,"Multimodality Treatment of Malignant Pleural Mesothelioma Regularly Scheduled Series RSS Live   10/01/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-01T04:00:00Z
2475,Melanoma:  An Update,"Melanoma:  An Update Regularly Scheduled Series RSS Live   10/03/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-03T04:00:00Z
2476,Using Technology to Induce Movement and Improve Gait Function in Patients with Chronic Hemiplegia,"Using Technology to Induce Movement and Improve Gait Function in Patients with Chronic Hemiplegia Regularly Scheduled Series RSS Live   10/03/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-03T04:00:00Z
2477,ISCD Bone Densitometry Course and Certification Exam,"ISCD Bone Densitometry Course and Certification Exam Regularly Scheduled Series RSS Live   10/04/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-04T04:00:00Z
2478,ISCD Bone Densitometry Course and Certification Exam,"ISCD Bone Densitometry Course and Certification Exam Regularly Scheduled Series RSS Live   10/04/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-04T04:00:00Z
2479,Chromosome Abnormalities and Cancer,"Chromosome Abnormalities and Cancer Regularly Scheduled Series RSS Live   10/06/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-06T04:00:00Z
2480,Updates in Allergic Diseases Series 2003,"Updates in Allergic Diseases Series 2003 Regularly Scheduled Series RSS Live All grand rounds for 2003  10/07/2003  2003  10  ",Regularly Scheduled Series,1,All grand rounds for 2003,M,2,Live,2003-10-07T04:00:00Z
2481,Environmental Controls to Reduce Allergen Levels and Mold Exposure and Related Health Effects,"Environmental Controls to Reduce Allergen Levels and Mold Exposure and Related Health Effects Regularly Scheduled Series RSS Live   10/07/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-07T04:00:00Z
2482,Acute Pain Management - A New Paradigm,"Acute Pain Management - A New Paradigm Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2483,"Degas:  Sight, Vision and Reality","Degas:  Sight, Vision and Reality Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2484,Management of Soft Tissue (Major) Infection,"Management of Soft Tissue (Major) Infection Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2485,Hepatitis C Virus Dynamics in Vivo:  Lessons Learned and Implications for Therapy,"Hepatitis C Virus Dynamics in Vivo:  Lessons Learned and Implications for Therapy Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2486,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2487,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2488,Neurocardiogenic Syncope,"Neurocardiogenic Syncope Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2489,Monitoring Change in Glaucoma:  The Effect of a Genetic Variation on the Progression of Glaucoma,"Monitoring Change in Glaucoma:  The Effect of a Genetic Variation on the Progression of Glaucoma Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2490,Principles of Surgical Management of Obstructive Sleep Apnea,"Principles of Surgical Management of Obstructive Sleep Apnea Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2491,Optimizing Treatment for Attention and Executive Function in Children and Adults,"Optimizing Treatment for Attention and Executive Function in Children and Adults Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2492,The Challenge of Burn Care in the Multi-Trauma Burn Victim,"The Challenge of Burn Care in the Multi-Trauma Burn Victim Regularly Scheduled Series RSS Live   10/08/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-08T04:00:00Z
2493,Morbidity and Mortality Conference,"Morbidity and Mortality Conference Regularly Scheduled Series RSS Live   10/10/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-10T04:00:00Z
2494,ISCD Bone Densitometry Course and Certification Exam,"ISCD Bone Densitometry Course and Certification Exam Regularly Scheduled Series RSS Live   10/11/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-11T04:00:00Z
2495,Management of the Small Hospital Laboratory,"Management of the Small Hospital Laboratory Regularly Scheduled Series RSS Live   10/13/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-13T04:00:00Z
2496,GERD - Don't Get Burned:  Current Concepts in Management,"GERD - Don't Get Burned:  Current Concepts in Management Regularly Scheduled Series RSS Live   10/14/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-14T04:00:00Z
2497,Pathology of Intrauterine Viral Infections,"Pathology of Intrauterine Viral Infections Regularly Scheduled Series RSS Live   10/14/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-14T04:00:00Z
2498,Schizophrenia as a Brain Disease:  The Latest Advances on Several Fronts,"Schizophrenia as a Brain Disease:  The Latest Advances on Several Fronts Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2499,"Stroke Overview:  Epidemiology, Anatomy, and Outcome Measurement","Stroke Overview:  Epidemiology, Anatomy, and Outcome Measurement Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2500,Minimally Invasive Otologic Surgery,"Minimally Invasive Otologic Surgery Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2501,"C-Reactive Protein, Useful Prognostic Indicator or Unnecessary Test Searching for an Indication","C-Reactive Protein, Useful Prognostic Indicator or Unnecessary Test Searching for an Indication Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2502,Airway Remodeling Asthma:  Fact or Fiction?,"Airway Remodeling Asthma:  Fact or Fiction? Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2503,Multidisciplinary Solid Tumor Board,"Multidisciplinary Solid Tumor Board Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2504,Neuro-Oncology Tumor Board (1.50),"Neuro-Oncology Tumor Board (1.50) Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2505,Immunosuppressants and Neurology,"Immunosuppressants and Neurology Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2506,Pediatric Case Conference,"Pediatric Case Conference Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2507,Laser Stapes Minus Prosthesis (Laser STAMP),"Laser Stapes Minus Prosthesis (Laser STAMP) Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2508,Interactions Between Serotonin-2 Receptors and Dopamine in the Rate Prefrontal Cortex,"Interactions Between Serotonin-2 Receptors and Dopamine in the Rate Prefrontal Cortex Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
2509,Gastric Cancer,"Gastric Cancer Regularly Scheduled Series RSS Live   10/15/2003  2003  10  ",Regularly Scheduled Series,1,,M,2,Live,2003-10-15T04:00:00Z
